=== bourbaki.cardinaux.iii_6_infinis.denombrable.ensembles_denombrable_injection_iii6.trois_impair  est_clos=True ===

---- par tottime (temps propre, hors sous-appels) ----
         2024908861 function calls (1636910326 primitive calls) in 1117.567 seconds

   Ordered by: internal time
   List reduced from 2305 to 30 due to restriction <30>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   405907    4.638    0.000   41.188    0.000 C:\Users\KARL\OneDrive\Bureau\Apprendre\Livre\Bourbakie\Theorie_des_ensembles\V9\bourbaki\logique\i_2_criteres_C\noyau\noyau_abrege.py:98(s6)
575348/43347    4.081    0.000   16.842    0.000 C:\Users\KARL\OneDrive\Bureau\Apprendre\Livre\Bourbakie\Theorie_des_ensembles\V9\bourbaki\logique\i_1_termes_relations\formule.py:224(<genexpr>)
734754/135259    3.145    0.000    5.353    0.000 C:\Users\KARL\OneDrive\Bureau\Apprendre\Livre\Bourbakie\Theorie_des_ensembles\V9\bourbaki\logique\i_1_termes_relations\formule.py:153(_libres_f)



---- par cumulative (temps total avec sous-appels) ----
         2024908861 function calls (1636910326 primitive calls) in 1117.567 seconds

   Ordered by: cumulative time
   List reduced from 2305 to 25 due to restriction <25>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.005    0.005 1117.567 1117.567 C:\Users\KARL\OneDrive\Bureau\Apprendre\Livre\Bourbakie\Theorie_des_ensembles\V9\bourbaki\cardinaux\iii_6_infinis\denombrable\ensembles_denombrable_injection_iii6.py:123(trois_impair)
        1    0.002    0.002  921.457  921.457 C:\Users\KARL\OneDrive\Bureau\Apprendre\Livre\Bourbakie\Theorie_des_ensembles\V9\bourbaki\cardinaux\iii_5_entiers\ensembles_parite_iii5.py:736(deux_k_plus_un_impair)
        1    0.004    0.004  921.196  921.196 C:\Users\KARL\OneDrive\Bureau\Apprendre\Livre\Bourbakie\Theorie_des_ensembles\V9\bourbaki\cardinaux\iii_5_entiers\ensembles_parite_iii5.py:724(_pair_neq_impair_t)
        1    0.014    0.014  921.184  921.184 C:\Users\KARL\OneDrive\Bureau\Apprendre\Livre\Bourbakie\Theorie_des_ensembles\V9\bourbaki\cardinaux\iii_5_entiers\ensembles_parite_iii5.py:690(pair_neq_impair)
    13578    0.884    0.000  593.278    0.044 C:\Users\KARL\OneDrive\Bureau\Apprendre\Livre\Bourbakie\Theorie_des_ensembles\V9\bourbaki\ensembles\ii_2_couples_produit\ensembles_couples.py:105(couple_egal_implique_composantes)
        1    0.514    0.514  489.003  489.003 C:\Users\KARL\OneDrive\Bureau\Apprendre\Livre\Bourbakie\Theorie_des_ensembles\V9\bourbaki\entiers\iii_4_entiers_finis\iii_4_recurrence_c61_existence_n\ensembles_principe_recurrence_preuve.py:448(principe_recurrence_preuve)
        1    0.232    0.232  473.734  473.734 C:\Users\KARL\OneDrive\Bureau\Apprendre\Livre\Bourbakie\Theorie_des_ensembles\V9\bourbaki\entiers\iii_4_entiers_finis\iii_4_recurrence_c61_existence_n\ensembles_principe_recurrence_preuve.py:352(_min_A_via_cbo)
        1    0.110    0.110  472.432  472.432 C:\Users\KARL\OneDrive\Bureau\Apprendre\Livre\Bourbakie\Theorie_des_ensembles\V9\bourbaki\cardinaux\iii_4_ordinal_cardinal\realisation_segment\ensembles_gate_onto_top.py:898(cardinaux_bien_ordonnes_close)
        1    0.225    0.225  472.298  472.298 C:\Users\KARL\OneDrive\Bureau\Apprendre\Livre\Bourbakie\Theorie_des_ensembles\V9\bourbaki\cardinaux\iii_4_ordinal_cardinal\realisation_segment\ensembles_gate_onto_top.py:878(bon_ordre_intervalle_close)
        1    0.060    0.060  472.064  472.064 C:\Users\KARL\OneDrive\Bureau\Apprendre\Livre\Bourbakie\Theorie_des_ensembles\V9\bourbaki\cardinaux\iii_4_ordinal_cardinal\realisation_segment\ensembles_gate_onto_top.py:851(_bon_ordre_intervalle_close_raw)
